1.01756, -1.0545, 1
-0.998748, 0.999572, 1
-1.02505, -0.947003, -1
1.00777, -0.982466, 1
1.01026, 1.00088, -1
-1.06107, -0.997471, -1
-0.970845, 1.00124, 1
-1.00588, 1.05564, 1
-0.980346, 1.01514, 1
-0.980746, -0.990912, -1
-1.0107, 0.961233, 1
-1.01442, -1.05525, -1
0.998325, 1.00575, -1
0.994154, -1.00003, 1
-0.983626, 0.990131, 1
-1.00023, 1.01129, 1
-1.00049, -1.00178, -1
-0.987718, -1.01993, -1
0.999719, -0.999889, 1
1.02394, 0.986182, -1
-1.00283, -0.984797, -1
-1.00015, -1.00639, -1
1.03196, 1.00626, -1
0.998257, -1.00353, 1
0.966467, -1.01564, 1
-1.01193, 0.996133, 1
-0.996189, 1.00647, 1
-0.988826, -1.02446, -1
1.01546, -1.02934, 1
1.0036, 1.00067, -1
-1.00703, 1.04379, 1
1.00134, -0.99785, 1
0.996258, -1.00172, 1
-0.994644, -1.02495, -1
1.02424, -1.04299, 1
-1.01014, -1.02214, -1
0.993456, 1.02738, -1
1.06495, -1.03389, 1
1.00131, -0.949078, 1
-1.0007, 1.00014, 1
-0.94914, 1.03703, 1
1.00025, -1.00381, 1
-1.01655, -1.01418, -1
1.00393, -1.00659, 1
0.996619, 0.93302, -1
0.987503, -0.9665, 1
0.992938, 1.01542, -1
1.00058, -0.951901, 1
-1.02908, -0.938257, -1
1.00888, -0.993409, 1
1.02696, 0.980838, -1
-0.996599, -0.990526, -1
-1.03126, -1.00445, -1
-0.981895, -1.0469, -1
-0.997971, 0.997276, 1
-1.03562, 1.00321, 1
-0.999826, 0.97368, 1
0.984379, -1.00994, 1
0.94204, 1.02166, -1
-1.03272, 0.989504, 1
-1.01463, -1.0429, -1
1.02578, -0.925976, 1
0.998054, -0.999635, 1
0.980858, 0.953508, -1
1.00001, -0.999615, 1
0.99198, 1.00976, -1
0.990969, -1.08353, 1
-0.970012, 0.936277, 1
-1.00312, 0.998944, 1
-0.965079, -1.08985, -1
1.02267, -0.956186, 1
1.00597, -0.945279, 1
0.987825, 1.0306, -1
1.00351, 0.990092, -1
-1.00025, -1.00035, -1
-0.961709, 0.976339, 1
-1.04592, 0.966313, 1
-0.902054, -0.994298, -1
1.00695, -0.99239, 1
-1.02315, 1.00865, 1
1.08952, 0.961985, -1
1.02944, -1.07168, 1
-0.991017, 0.987085, 1
0.962715, 0.922469, -1
-1.01164, 1.04073, 1
0.986959, -1.00503, 1
0.990486, 1.00011, -1
-1.03884, 1.02901, 1
0.984472, 1.00323, -1
1.02767, 1.08482, -1
0.990218, 0.95139, -1
-1.02467, 0.996849, 1
